Column,uv_clf_alpha_01,uv_clf_alpha_005,uv_clf_alpha_001,Randomized Lasso,Linear SVC,Logistic Regregssion,Votes,Good Feature
weatherVar116,False,False,False,False,True,True,2,False
weatherVar117,False,False,False,False,False,False,0,False
weatherVar118,False,False,False,True,True,True,3,False
weatherVar119,False,False,False,False,True,True,2,False
weatherVar120,False,False,False,False,True,False,1,False
weatherVar121,False,False,False,False,True,False,1,False
weatherVar122,True,True,False,False,False,False,2,False
weatherVar123,True,True,True,False,False,False,3,False
weatherVar124,False,False,False,False,True,False,1,False
weatherVar125,False,False,False,False,False,False,0,False
weatherVar126,False,False,False,False,False,False,0,False
weatherVar127,False,False,False,False,False,False,0,False
weatherVar128,False,False,False,False,False,False,0,False
weatherVar129,False,False,False,False,True,True,2,False
weatherVar130,False,False,False,False,False,False,0,False
weatherVar131,False,False,False,False,True,True,2,False
weatherVar132,False,False,False,False,True,True,2,False
weatherVar133,True,False,False,False,True,True,3,False
weatherVar134,False,False,False,False,True,False,1,False
weatherVar135,False,False,False,False,False,False,0,False
weatherVar136,False,False,False,False,True,False,1,False
weatherVar137,False,False,False,False,False,False,0,False
weatherVar138,False,False,False,False,True,True,2,False
weatherVar139,True,False,False,False,True,False,2,False
weatherVar140,False,False,False,False,False,False,0,False
weatherVar141,False,False,False,False,True,False,1,False
weatherVar142,False,False,False,False,False,True,1,False
weatherVar143,False,False,False,False,False,False,0,False
weatherVar144,False,False,False,False,False,False,0,False
weatherVar145,False,False,False,False,False,False,0,False
weatherVar146,True,True,True,False,True,False,4,True
weatherVar147,False,False,False,False,True,True,2,False
weatherVar148,True,False,False,False,True,False,2,False
weatherVar149,False,False,False,False,False,False,0,False
weatherVar150,True,True,True,False,False,False,3,False
weatherVar151,True,True,False,False,False,False,2,False
weatherVar152,False,False,False,False,False,False,0,False
weatherVar153,False,False,False,False,True,False,1,False
weatherVar154,False,False,False,False,True,True,2,False
weatherVar155,True,True,True,False,False,False,3,False
weatherVar156,True,True,False,False,False,False,2,False
weatherVar157,True,True,True,False,True,True,5,True
weatherVar158,True,True,True,False,True,False,4,True
weatherVar159,False,False,False,False,False,False,0,False
weatherVar160,False,False,False,False,False,False,0,False
weatherVar161,True,True,False,False,True,True,4,True
weatherVar162,False,False,False,False,True,True,2,False
weatherVar163,True,True,True,False,False,False,3,False
weatherVar164,True,True,False,False,False,False,2,False
weatherVar165,True,True,False,False,True,True,4,True
weatherVar166,False,False,False,False,False,False,0,False
weatherVar167,False,False,False,False,False,False,0,False
weatherVar168,True,True,False,False,True,False,3,False
weatherVar169,False,False,False,False,False,False,0,False
weatherVar170,False,False,False,False,True,False,1,False
weatherVar171,False,False,False,False,False,False,0,False
weatherVar172,False,False,False,False,False,False,0,False
weatherVar173,True,False,False,False,True,False,2,False
weatherVar174,True,True,False,False,False,False,2,False
weatherVar175,True,True,True,False,True,False,4,True
weatherVar176,True,True,True,False,True,True,5,True
weatherVar177,True,True,True,False,False,False,3,False
weatherVar178,False,False,False,False,False,False,0,False
weatherVar179,True,True,True,False,False,False,3,False
weatherVar180,True,True,False,False,True,True,4,True
weatherVar181,False,False,False,False,True,True,2,False
weatherVar182,True,True,True,False,True,True,5,True
weatherVar183,True,True,True,False,False,False,3,False
weatherVar184,False,False,False,False,False,True,1,False
weatherVar185,True,True,False,False,False,False,2,False
weatherVar186,False,False,False,False,False,False,0,False
weatherVar187,False,False,False,False,False,False,0,False
weatherVar188,False,False,False,False,False,False,0,False
weatherVar189,True,True,True,False,True,True,5,True
weatherVar190,True,True,True,False,True,True,5,True
weatherVar191,True,True,True,False,False,False,3,False
weatherVar192,True,True,True,False,True,False,4,True
weatherVar193,True,True,True,False,False,False,3,False
weatherVar194,True,True,True,False,False,False,3,False
weatherVar195,True,True,True,False,True,False,4,True
weatherVar196,True,True,True,False,True,True,5,True
weatherVar197,True,True,True,False,True,True,5,True
weatherVar198,True,False,False,False,False,False,1,False
weatherVar199,False,False,False,False,True,True,2,False
weatherVar200,True,False,False,False,False,False,1,False
weatherVar201,False,False,False,False,False,False,0,False
weatherVar202,False,False,False,False,False,False,0,False
weatherVar203,False,False,False,False,True,False,1,False
weatherVar204,False,False,False,False,True,True,2,False
weatherVar205,False,False,False,False,False,False,0,False
weatherVar206,False,False,False,False,True,True,2,False
weatherVar207,False,False,False,False,False,False,0,False
weatherVar208,False,False,False,False,True,True,2,False
weatherVar209,True,False,False,False,False,False,1,False
weatherVar210,False,False,False,False,False,False,0,False
weatherVar211,False,False,False,False,False,False,0,False
weatherVar212,False,False,False,False,False,False,0,False
weatherVar213,True,False,False,False,True,True,3,False
weatherVar214,False,False,False,False,True,True,2,False
weatherVar215,True,True,False,False,False,False,2,False
weatherVar216,False,False,False,False,True,True,2,False
weatherVar217,False,False,False,False,True,True,2,False
weatherVar218,True,True,True,True,True,True,6,True
weatherVar219,True,True,False,False,True,True,4,True
weatherVar220,False,False,False,False,False,False,0,False
weatherVar221,True,True,False,False,True,True,4,True
weatherVar222,False,False,False,False,False,False,0,False
weatherVar223,False,False,False,False,False,False,0,False
weatherVar224,False,False,False,False,False,True,1,False
weatherVar225,False,False,False,False,True,True,2,False
weatherVar226,False,False,False,False,True,True,2,False
weatherVar227,True,True,True,True,True,True,6,True
weatherVar228,False,False,False,False,False,False,0,False
weatherVar229,False,False,False,False,False,False,0,False
weatherVar230,False,False,False,False,False,False,0,False
weatherVar231,False,False,False,False,False,False,0,False
weatherVar232,False,False,False,False,False,False,0,False
